datetime,PM2.5,PM10
2020-05-06 11:00:00,9.666666666666666,11.316666666666668
2020-05-06 12:00:00,10.566666666666666,18.316666666666666
2020-05-06 13:00:00,14.016666666666666,21.266666666666666
2020-05-06 14:00:00,16.333333333333332,20.78333333333333
2020-05-06 15:00:00,10.85,12.950000000000001
2020-05-06 16:00:00,18.928571428571427,24.857142857142858
2020-05-06 17:00:00,21.185714285714287,26.257142857142856
2020-05-06 18:00:00,14.600000000000001,21.066666666666666
2020-05-06 19:00:00,22.4,33.7
2020-05-06 20:00:00,14.3,19.375
2020-05-06 21:00:00,14.3,19.375
2020-05-06 22:00:00,21.86,29.24
2020-05-06 23:00:00,19.78,27.28
2020-05-07 00:00:00,19.78,27.28
2020-05-07 01:00:00,31.8,41.7
2020-05-07 02:00:00,30.233333333333334,38.01666666666667
2020-05-07 03:00:00,24.95,36.78333333333333
2020-05-07 04:00:00,20.8,27.7
2020-05-07 05:00:00,22.833333333333332,28.516666666666666
2020-05-07 06:00:00,14.333333333333334,22.616666666666664
2020-05-07 07:00:00,9.1,11.2
2020-05-07 08:00:00,9.22,12.32
2020-05-07 09:00:00,9.74,16.916666666666668
2020-05-07 10:00:00,6.066666666666666,15.766666666666666
2020-05-07 11:00:00,8.5,12.566666666666668
2020-05-07 12:00:00,11.549999999999999,17.849999999999998
2020-05-07 13:00:00,14.949999999999998,19.266666666666666
2020-05-07 14:00:00,18.983333333333334,23.516666666666666
2020-05-07 15:00:00,22.733333333333334,27.400000000000002
2020-05-07 16:00:00,25.333333333333332,31.05
2020-05-07 17:00:00,20.466666666666665,24.566666666666666
2020-05-07 18:00:00,21.883333333333336,24.099999999999998
2020-05-07 19:00:00,21.5,26.6
2020-05-07 20:00:00,19.849999999999998,23.233333333333334
2020-05-07 21:00:00,20.919999999999998,27.2
2020-05-07 22:00:00,36.5,43.0
2020-05-07 23:00:00,24.883333333333336,31.616666666666664
2020-05-08 00:00:00,28.8,40.4
2020-05-08 01:00:00,31.683333333333334,40.71666666666667
2020-05-08 02:00:00,26.6,41.9
2020-05-08 03:00:00,25.316666666666666,34.666666666666664
2020-05-08 04:00:00,18.466666666666665,26.016666666666666
2020-05-08 05:00:00,14.85,24.633333333333336
2020-05-08 06:00:00,14.625,20.425
2020-05-08 07:00:00,16.6,25.4
2020-05-08 08:00:00,16.62857142857143,20.0
2020-05-08 09:00:00,16.216666666666665,20.8
2020-05-08 10:00:00,15.9,23.166666666666668
2020-05-08 11:00:00,16.2,33.6
2020-05-08 12:00:00,18.3,20.9
2020-05-08 13:00:00,21.916666666666668,30.583333333333332
2020-05-08 14:00:00,20.016666666666666,26.016666666666666
2020-05-08 15:00:00,25.25,34.43333333333333
2020-05-08 16:00:00,26.5,36.233333333333334
2020-05-08 17:00:00,24.666666666666668,27.383333333333336
2020-05-08 18:00:00,26.15,31.5
2020-05-08 19:00:00,27.880000000000003,34.7
2020-05-08 20:00:00,27.880000000000003,34.7
2020-05-08 21:00:00,27.880000000000003,34.7
2020-05-08 22:00:00,27.880000000000003,34.7
2020-05-09 04:00:00,30.0,36.1
2020-05-09 05:00:00,28.116666666666664,37.766666666666666
2020-05-09 06:00:00,24.833333333333332,34.9
2020-05-09 07:00:00,23.400000000000002,29.28333333333333
2020-05-09 08:00:00,21.033333333333335,23.900000000000002
2020-05-09 09:00:00,22.166666666666668,31.066666666666666
2020-05-09 10:00:00,23.349999999999998,28.8
2020-05-09 11:00:00,20.880000000000003,27.880000000000003
2020-05-09 12:00:00,22.071428571428573,29.871428571428574
2020-05-09 13:00:00,27.416666666666668,40.03333333333333
2020-05-09 14:00:00,35.18333333333333,50.26666666666667
2020-05-09 15:00:00,35.766666666666666,45.61666666666667
